"type";"variable";"contribution";"variable_name";"variable_value";"sign";"label";"B"
"regular misclass:no";"age = 57";-0,00116473031247262;"age";"57";-1;"gbm";0
"regular misclass:no";"avgstr = 1.25";-0,00525277237166717;"avgstr";"1.25";-1;"gbm";0
"regular misclass:no";"HE01_01_r = 1";0,000868276895634017;"HE01_01_r";"1";1;"gbm";0
"regular misclass:no";"HE01_02 = 4";0,00193339062867352;"HE01_02";"4";1;"gbm";0
"regular misclass:no";"HE01_03 = 2";0;"HE01_03";"2";0;"gbm";0
"regular misclass:no";"HE01_04 = 4";-0,000375343292683539;"HE01_04";"4";-1;"gbm";0
"regular misclass:no";"HE01_05 = 2";0;"HE01_05";"2";0;"gbm";0
"regular misclass:no";"HE01_06 = 5";0,000574548115040476;"HE01_06";"5";1;"gbm";0
"regular misclass:no";"HE01_07 = 1";0,00270286687284272;"HE01_07";"1";1;"gbm";0
"regular misclass:no";"HE01_08 = 3";-0,00245068293814819;"HE01_08";"3";-1;"gbm";0
"regular misclass:no";"HE01_09_r = 5";-0,0018484070232324;"HE01_09_r";"5";-1;"gbm";0
"regular misclass:no";"HE01_10_r = 2";0;"HE01_10_r";"2";0;"gbm";0
"regular misclass:no";"HE01_11 = 4";0,000304508475769576;"HE01_11";"4";1;"gbm";0
"regular misclass:no";"HE01_12_r = 2";-0,00112619246022727;"HE01_12_r";"2";-1;"gbm";0
"regular misclass:no";"HE01_13 = 4";-0,000225276751241847;"HE01_13";"4";-1;"gbm";0
"regular misclass:no";"HE01_14_r = 3";-8,2931869312366e-05;"HE01_14_r";"3";-1;"gbm";0
"regular misclass:no";"HE01_15_r = 2";0,000513043030903333;"HE01_15_r";"2";1;"gbm";0
"regular misclass:no";"HE01_16 = 2";0,000183456710896899;"HE01_16";"2";1;"gbm";0
"regular misclass:no";"HE01_17 = 2";0,000301180824423843;"HE01_17";"2";1;"gbm";0
"regular misclass:no";"HE01_18 = 3";-0,000999440215336016;"HE01_18";"3";-1;"gbm";0
"regular misclass:no";"HE01_19_r = 3";0;"HE01_19_r";"3";0;"gbm";0
"regular misclass:no";"HE01_20_r = 1";0,00101343882842869;"HE01_20_r";"1";1;"gbm";0
"regular misclass:no";"HE01_21_r = 5";0,000543332097010512;"HE01_21_r";"5";1;"gbm";0
"regular misclass:no";"HE01_22 = 3";0,000139456885971028;"HE01_22";"3";1;"gbm";0
"regular misclass:no";"HE01_23 = 3";-6,77870929604496e-05;"HE01_23";"3";-1;"gbm";0
"regular misclass:no";"HE01_24_r = 5";-0,000138985836098524;"HE01_24_r";"5";-1;"gbm";0
"regular misclass:no";"HE01_25 = 1";0,00933618315921337;"HE01_25";"1";1;"gbm";0
"regular misclass:no";"HE01_26_r = 4";-0,000605156505902156;"HE01_26_r";"4";-1;"gbm";0
"regular misclass:no";"HE01_27 = 4";0,000184798251237837;"HE01_27";"4";1;"gbm";0
