i;Accuracy;Kappa;AccuracyLower;AccuracyUpper;AccuracyNull;AccuracyPValue;McnemarPValue;Sensitivity;Specificity;Pos.Pred.Value;Neg.Pred.Value;Precision;Recall;F1;Prevalence;Detection.Rate;Detection.Prevalence;Balanced.Accuracy;AUC
1;0,711111111111;0,171974522293;0,639006680354;0,776116069694;0,9;1;2,88242e-07;0,611111111111;0,722222222222;0,196428571429;0,943548387097;0,196428571429;0,611111111111;0,297297297297;0,1;0,061111111111;0,311111111111;0,666666666667;0,724279835391
2;0,716666666667;0,217791411043;0,644846269403;0,781198655469;0,9;0,999999999999;2,1297e-08;0,722222222222;0,716049382716;0,220338983051;0,95867768595;0,220338983051;0,722222222222;0,337662337662;0,1;0,072222222222;0,327777777778;0,719135802469;0,778463648834
3;0,75;0,166666666667;0,680144125964;0,811429155722;0,9;0,99999999803;0,000106252621;0,5;0,777777777778;0,2;0,933333333333;0,2;0,5;0,285714285714;0,1;0,05;0,25;0,638888888889;0,663237311385
4;0,8;0,256198347107;0,734028602439;0,855816410878;0,9;0,99998165167;0,001541969569;0,555555555556;0,827160493827;0,263157894737;0,943661971831;0,263157894737;0,555555555556;0,357142857143;0,1;0,055555555556;0,211111111111;0,691358024691;0,792181069959
5;0,7;0,093959731544;0,627362758361;0,765915075219;0,9;1;7,097908e-06;0,444444444444;0,728395061728;0,153846153846;0,921875;0,153846153846;0,444444444444;0,228571428571;0,1;0,044444444444;0,288888888889;0,586419753086;0,697873799726
6;0,777777777778;0,145299145299;0,709928795256;0,836243697931;0,9;0,999999573176;0,00718951725;0,388888888889;0,820987654321;0,194444444444;0,923611111111;0,194444444444;0,388888888889;0,259259259259;0,1;0,038888888889;0,2;0,604938271605;0,651920438957
7;0,744444444444;0,206896551724;0,67422895991;0,806423552937;0,9;0,999999999384;4,860963e-06;0,611111111111;0,759259259259;0,22;0,946153846154;0,22;0,611111111111;0,323529411765;0,1;0,061111111111;0,277777777778;0,685185185185;0,687242798354
8;0,772222222222;0,166666666667;0,703942916735;0,831310416305;0,9;0,999999845615;0,001787289037;0,444444444444;0,808641975309;0,205128205128;0,929078014184;0,205128205128;0,444444444444;0,280701754386;0,1;0,044444444444;0,216666666667;0,626543209877;0,748971193416
9;0,727777777778;0,118705035971;0,656561717112;0,791326936824;0,9;0,999999999984;6,3342484e-05;0,444444444444;0,759259259259;0,170212765957;0,924812030075;0,170212765957;0,444444444444;0,246153846154;0,1;0,044444444444;0,261111111111;0,601851851852;0,690329218107
10;0,733333333333;0,194630872483;0,662438015907;0,796372168652;0,9;0,999999999945;1,906038e-06;0,611111111111;0,746913580247;0,211538461538;0,9453125;0,211538461538;0,611111111111;0,314285714286;0,1;0,061111111111;0,288888888889;0,679012345679;0,771262002743
