i;Accuracy;Kappa;AccuracyLower;AccuracyUpper;AccuracyNull;AccuracyPValue;McnemarPValue;Sensitivity;Specificity;Pos.Pred.Value;Neg.Pred.Value;Precision;Recall;F1;Prevalence;Detection.Rate;Detection.Prevalence;Balanced.Accuracy;AUC
1;0,727777777778;0,301994301994;0,656561717112;0,791326936824;0,8;0,992497365266;0,00427473396;0,611111111111;0,756944444444;0,385964912281;0,886178861789;0,385964912281;0,611111111111;0,47311827957;0,2;0,122222222222;0,316666666667;0,684027777778;0,733024691358
2;0,705555555556;0,281842818428;0,633178907282;0,771021475632;0,8;0,999083606;0,000355112479;0,638888888889;0,722222222222;0,365079365079;0,888888888889;0,365079365079;0,638888888889;0,464646464646;0,2;0,127777777778;0,35;0,680555555556;0,742380401235
3;0,716666666667;0,234234234234;0,644846269403;0,781198655469;0,8;0,997245442641;0,049949976455;0,5;0,770833333333;0,352941176471;0,860465116279;0,352941176471;0,5;0,413793103448;0,2;0,1;0,283333333333;0,635416666667;0,674575617284
4;0,716666666667;0,273504273504;0,644846269403;0,781198655469;0,8;0,997245442641;0,005101399646;0,583333333333;0,75;0,368421052632;0,878048780488;0,368421052632;0,583333333333;0,451612903226;0,2;0,116666666667;0,316666666667;0,666666666667;0,719714506173
5;0,666666666667;0,206349206349;0,592700435515;0,735038774369;0,8;0,99999092921;0,000181197404;0,583333333333;0,6875;0,318181818182;0,868421052632;0,318181818182;0,583333333333;0,411764705882;0,2;0,116666666667;0,366666666667;0,635416666667;0,702546296296
6;0,777777777778;0,259259259259;0,709928795256;0,836243697931;0,8;0,800722459379;0,42919530044;0,361111111111;0,881944444444;0,433333333333;0,846666666667;0,433333333333;0,361111111111;0,393939393939;0,2;0,072222222222;0,166666666667;0,621527777778;0,728395061728
7;0,683333333333;0,188034188034;0,609982286547;0,750526898482;0,8;0,999924278077;0,008071487425;0,5;0,729166666667;0,315789473684;0,853658536585;0,315789473684;0,5;0,387096774194;0,2;0,1;0,316666666667;0,614583333333;0,666859567901
8;0,777777777778;0,290780141844;0,709928795256;0,836243697931;0,8;0,800722459379;0,874367061163;0,416666666667;0,868055555556;0,441176470588;0,856164383562;0,441176470588;0,416666666667;0,428571428571;0,2;0,083333333333;0,188888888889;0,642361111111;0,780864197531
9;0,727777777778;0,250764525994;0,656561717112;0,791326936824;0,8;0,992497365266;0,086476265494;0,5;0,784722222222;0,367346938776;0,862595419847;0,367346938776;0,5;0,423529411765;0,2;0,1;0,272222222222;0,642361111111;0,724151234568
10;0,75;0,358974358974;0,680144125964;0,811429155722;0,8;0,958689979523;0,002869112792;0,666666666667;0,770833333333;0,421052631579;0,90243902439;0,421052631579;0,666666666667;0,516129032258;0,2;0,133333333333;0,316666666667;0,71875;0,771990740741
11;0,694444444444;0,202898550725;0,621558051877;0,760797059695;0,8;0,999723515481;0,015219241743;0,5;0,743055555556;0,327272727273;0,856;0,327272727273;0,5;0,395604395604;0,2;0,1;0,305555555556;0,621527777778;0,668402777778
12;0,683333333333;0,227642276423;0,609982286547;0,750526898482;0,8;0,999924278077;0,000573633511;0,583333333333;0,708333333333;0,333333333333;0,871794871795;0,333333333333;0,583333333333;0,424242424242;0,2;0,116666666667;0,35;0,645833333333;0,748070987654
13;0,711111111111;0,252873563218;0,639006680354;0,776116069694;0,8;0,998391591559;0,008418044065;0,555555555556;0,75;0,357142857143;0,870967741935;0,357142857143;0,555555555556;0,434782608696;0,2;0,111111111111;0,311111111111;0,652777777778;0,72299382716
14;0,7;0,181818181818;0,627362758361;0,765915075219;0,8;0,999490484861;0,076881204909;0,444444444444;0,763888888889;0,32;0,846153846154;0,32;0,444444444444;0,372093023256;0,2;0,088888888889;0,277777777778;0,604166666667;0,67862654321
15;0,638888888889;0,185463659148;0,564106553005;0,709013605267;0,8;0,999999835042;7,997514e-06;0,611111111111;0,645833333333;0,301369863014;0,869158878505;0,301369863014;0,611111111111;0,403669724771;0,2;0,122222222222;0,405555555556;0,628472222222;0,677469135802
16;0,622222222222;0,100529100529;0,547070807797;0,693276728566;0,8;0,999999988709;0,000436837782;0,472222222222;0,659722222222;0,257575757576;0,833333333333;0,257575757576;0,472222222222;0,333333333333;0,2;0,094444444444;0,366666666667;0,565972222222;0,635416666667
17;0,694444444444;0,202898550725;0,621558051877;0,760797059695;0,8;0,999723515481;0,015219241743;0,5;0,743055555556;0,327272727273;0,856;0,327272727273;0,5;0,395604395604;0,2;0,1;0,305555555556;0,621527777778;0,690393518519
