Careless;HE01_01_r;HE01_09_r;HE01_10_r;HE01_12_r;HE01_14_r;HE01_15_r;HE01_19_r;HE01_20_r;HE01_21_r;HE01_24_r;HE01_26_r;HE01_28_r;HE01_30_r;HE01_31_r;HE01_32_r;HE01_35_r;HE01_41_r;HE01_42_r;HE01_44_r;HE01_46_r;HE01_48_r;HE01_49_r;HE01_52_r;HE01_53_r;HE01_55_r;HE01_56_r;HE01_57_r;HE01_59_r;HE01_60_r;HE01_02;HE01_03;HE01_04;HE01_05;HE01_06;HE01_07;HE01_08;HE01_11;HE01_13;HE01_16;HE01_17;HE01_18;HE01_22;HE01_23;HE01_25;HE01_27;HE01_29;HE01_33;HE01_34;HE01_36;HE01_37;HE01_38;HE01_39;HE01_40;HE01_43;HE01_45;HE01_47;HE01_50;HE01_51;HE01_54;HE01_58;time_p1;time_p2;time_p3;time_p4;time_p5;time_p6;sex;age;SO04;SO06;longstr;avgstr;longstr1;longstr6;longstrDiff;irvTotal;irv1;irv6;irvDiff;res_mahad;res_psycsyn;res_evenodd;res_u3poly
0;5;5;2;5;5;4;1;1;5;5;4;4;5;3;5;4;1;2;5;1;5;1;2;4;3;2;5;5;5;5;1;5;2;4;4;5;5;3;2;1;4;3;5;5;5;5;4;2;5;5;5;1;2;5;5;5;4;3;5;2;107937,19;89286;68965,56;67017,2;70084,55;78559;1;50;1;5;3;1,17647058823529;2;2;0;1,65797166938919;1,75119007154183;1,42984070596848;0,321349365573345;88,4298569565614;-0,322956586984681;0,350018341190004;0,3382
0;5;2;4;4;2;2;4;4;4;5;4;3;5;4;4;4;4;3;4;2;4;2;3;4;4;4;4;5;4;3;2;3;4;2;4;4;4;2;5;4;4;3;5;4;2;5;2;4;4;3;5;1;2;4;2;5;2;3;4;4;78360;60321;44032,22;47584,44;47166,67;54739;1;26;1;3;3;1,33333333333333;3;3;0;1,17121791842056;1,10050493461461;0,97182531580755;0,128679618807062;60,2276774741347;-0,225895311060344;0,82154475609858;0,1602
0;1;4;4;5;4;5;3;5;4;5;4;4;5;3;4;4;1;2;5;3;5;5;5;2;1;5;5;4;5;5;4;4;1;4;5;1;4;1;1;2;2;5;3;1;2;1;3;1;4;1;4;1;3;2;3;4;4;4;5;1;47384,94;38533,75;40468,75;41168;30385;40210;1;24;1;1;3;1,36363636363636;2;3;-1;1,44347352563497;1,63639169448448;1,77951304200522;-0,143121347520742;92,9194229093051;-0,502355865791801;0,919584223128751;0,3127
1;4;3;3;4;4;2;2;4;4;4;4;4;3;4;3;3;2;3;3;2;3;2;4;2;4;3;4;2;4;4;4;4;5;5;3;4;2;4;5;2;4;4;2;4;4;4;5;3;4;3;4;4;3;5;5;2;2;5;3;2;61628,6;68017,38;58324,17;56230,2;75939,55;65967;2;22;1;3;3;1,22448979591837;3;2;1;1,0353906983864;0,948683298050514;1,10050493461461;-0,151821636564098;46,2364690119269;-0,456589391877463;0,725857232662788;0,1688
0;4;1;2;4;5;1;4;3;3;4;2;2;4;3;2;5;5;4;4;3;3;4;1;5;4;1;3;5;5;1;3;3;2;2;4;2;5;4;1;4;4;2;5;4;3;2;2;2;1;4;5;2;1;5;2;4;4;1;4;2;54755;53902,22;39073,75;59514;49273,33;48685;1;24;1;1;2;1,22448979591837;2;2;0;1,33784547256945;1,22927259430572;1,64991582276861;-0,420643228462892;71,0554565935376;-0,489127004046323;0,916356997152785;0,2862
1;1;2;2;3;4;3;4;4;2;5;3;2;2;4;4;5;3;4;1;5;1;2;4;3;4;3;5;1;3;2;2;4;1;2;1;5;3;1;4;4;4;4;2;2;1;4;2;1;5;4;1;2;3;2;5;4;3;3;2;3;35901;11902;10627,78;11141;11281;9755;1;22;1;1;3;1,3953488372093;2;2;0;1,28650096998126;1,56347191994114;1,05934990547138;0,504122014469763;128,665979456917;-0,173637488751758;-1;0,2991
0;1;4;4;2;3;2;4;4;4;5;4;3;2;2;4;4;2;2;4;3;4;2;4;4;3;4;2;3;2;5;3;4;3;2;2;4;3;2;4;2;2;4;2;1;2;4;2;4;4;2;4;3;3;4;3;4;4;3;4;3;41053,33;44208;34258,89;42075,56;35243;48546,25;1;26;1;4;5;1,5;2;2;0;0,999858747085954;1,22927259430572;0,816496580927726;0,412776013377992;44,6119688898564;-0,150094614236699;0,787758616765814;0,1134
0;4;3;4;4;4;4;3;2;5;5;4;3;3;4;2;4;2;4;3;4;5;5;3;1;4;2;4;5;4;2;2;4;1;4;4;3;4;5;2;2;3;4;5;3;3;3;2;1;4;4;4;4;3;3;2;4;3;2;4;1;70025,33;56194,44;49732,5;54605,56;37880;49032,22;1;19;1;1;4;1,42857142857143;3;2;1;1,12934659374948;1,05934990547138;1,34989711542111;-0,290547209949725;60,2606165597219;-0,215194422232863;0,54608049536381;0,1497
1;4;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;1;4;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;13950;11299;9675;10100;13184;9730;1;27;1;1;51;7,5;3;10;-7;0,431460533641717;1,10050493461461;0;1,10050493461461;20,3308462433685;0,0128448151289569;0;0,0367
0;2;4;4;2;3;2;4;4;3;5;4;4;4;4;3;2;2;3;4;4;4;3;5;2;4;3;3;2;2;4;2;4;3;2;4;3;2;3;4;2;2;4;2;2;2;2;3;4;2;4;3;2;4;4;2;2;4;2;3;4;65065;59328,89;56442,22;59745;49841,11;67952,22;2;28;1;1;7;1,66666666666667;2;3;-1;0,929582860096565;0,942809041582063;1,05409255338946;-0,111283511807396;34,1845655502916;-0,360658426966131;0,967099952627266;0,1103
1;1;2;2;5;5;2;1;5;5;5;5;2;5;4;5;5;2;2;4;2;2;1;1;5;3;2;5;4;5;5;1;2;4;5;1;5;5;1;3;4;1;4;2;1;2;4;5;1;4;4;5;5;4;4;4;5;4;4;2;1;34398;31110;25044;19986,67;19632,86;22824,29;1;21;1;1;4;1,3953488372093;2;2;0;1,59969983060029;1,64654520469713;1,50554530541816;0,140999899278967;98,0988308371247;-0,346017358928082;0,960440299213905;0,3535
0;4;4;5;5;4;1;4;3;5;5;4;3;4;2;4;4;2;1;4;4;4;3;2;2;4;2;4;4;5;3;3;4;4;5;5;4;5;4;5;2;3;5;3;4;2;2;4;4;5;5;5;2;4;4;4;4;3;3;4;4;39588,75;49781,11;36084,44;45577,78;58413,31;54703,83;1;23;1;1;3;1,30434782608696;2;3;-1;1,26446433579488;1,33749350984926;1,15470053837925;0,182792971470007;54,8131435106195;-0,123674706335843;0,903878570570139;0,1468
0;3;4;5;5;5;2;4;3;3;5;5;5;2;4;4;1;2;5;3;3;5;4;4;5;4;3;5;5;5;2;2;4;2;5;4;5;5;3;4;2;4;4;4;3;3;1;2;5;1;5;4;5;4;2;2;4;4;4;5;4;48812,86;41361,43;32208,75;33766,67;38641;33601,43;1;22;1;1;3;1,22448979591837;2;2;0;1,39601936107533;1,4142135623731;1,50554530541816;-0,0913317430450669;110,797722790021;-0,0446419856007295;0,64100354763077;0,2781
1;4;4;3;5;4;3;3;3;4;5;5;2;4;3;4;4;2;5;4;2;5;3;3;4;1;4;4;4;4;4;2;4;2;4;3;5;3;2;4;1;4;4;3;1;3;2;3;3;4;4;4;3;4;3;3;4;3;3;4;1;49182,5;46884,44;39758;41598,89;35991,25;44441,43;1;21;1;1;4;1,36363636363636;1;2;-1;1,07933857126132;1,10050493461461;1,17378779077727;-0,0732828561626555;48,0635876212826;-0,290343352569771;0,914740391365241;0,1162
0;4;2;3;4;4;3;3;4;3;4;2;2;2;4;5;5;4;3;4;3;4;5;4;4;3;4;3;5;5;4;3;3;3;2;4;4;5;4;2;3;2;4;4;5;3;3;3;3;4;4;4;3;2;4;3;5;3;3;2;2;30900;35750;25714;27529;48944,55;30382;1;29;1;1;3;1,30434782608696;3;3;0;1,03279555898864;0,788810637746616;0,737864787372622;0,0509458503739937;40,9779261645741;-0,281288666114327;0,772477227920159;0,1215
0;5;2;5;4;5;3;5;3;4;4;3;3;5;4;4;3;2;5;4;4;4;2;4;2;5;2;4;5;5;2;3;2;2;4;4;4;4;4;4;4;5;4;4;5;3;3;4;3;5;5;3;2;3;5;4;4;4;2;5;3;63468,89;59360;45960;49606,25;42936,25;62812,22;1;26;1;6;4;1,33333333333333;4;2;2;1,25448348476946;1,25166555703457;1,43372087784044;-0,182055320805865;48,1046728788912;-0,436861779383038;0,600955550086476;0,1494
1;3;5;5;1;4;2;5;4;4;2;5;3;4;1;5;2;1;1;2;4;4;4;1;4;1;2;3;3;5;3;2;3;3;4;2;2;3;4;3;2;1;5;3;4;4;3;3;4;2;1;3;2;2;3;3;5;1;4;4;2;11444;12189;11498;11109;10576;10483;1;24;1;1;2;1,25;2;1;1;1,27159315527506;0,966091783079296;1,33749350984926;-0,371401726769963;104,121503656008;-0,161633357006303;-1;0,2547
0;5;5;3;4;4;4;2;5;5;5;5;4;4;2;4;5;4;4;4;2;4;4;3;4;2;5;2;5;4;5;4;3;5;2;5;4;5;3;4;5;3;3;4;4;2;5;4;1;4;2;4;3;3;4;4;5;4;4;3;1;41707,78;46094,44;33096,25;30828,75;30000;44454,29;1;27;1;3;2;1,2;1;2;-1;1,32884130318091;1,56702123647242;1,26929551764398;0,297725718828437;60,7761856713525;-0,517893221140255;0,629330905511338;0,2253
1;3;3;5;4;2;2;2;4;5;4;4;4;4;3;4;4;1;4;4;3;4;4;4;4;2;4;4;3;5;4;1;3;2;3;4;5;4;4;3;2;4;3;2;4;3;2;2;3;5;3;4;2;2;4;4;4;4;3;5;3;91501,5;66445;81223,05;78575;72980;87212;2;67;1;6;3;1,25;1;2;-1;1,08090775828509;1,28668393770792;1,15950180872841;0,127182128979513;47,3990182835072;-0,284982867656723;0,814643737432655;0,1006
0;4;1;5;2;4;3;4;3;4;2;5;4;4;4;4;2;2;2;5;2;1;5;4;2;2;3;2;2;4;2;3;5;2;2;4;5;2;5;3;2;2;3;1;2;3;2;2;3;4;5;4;3;5;3;4;2;4;2;4;5;30210;47232,86;29952,5;31537,5;34003,33;38585,56;1;21;1;1;6;1,3953488372093;2;3;-1;1,22808472443699;1,52388392675499;1,07496769977314;0,448916226981855;61,6376275226695;-0,662882789027376;0,921779437812491;0,2331
0;4;4;3;4;3;4;2;2;5;4;3;2;3;5;4;4;3;4;3;2;4;3;2;4;3;2;3;3;4;2;2;3;2;4;4;3;5;4;3;3;3;3;4;3;3;2;4;3;4;4;3;3;3;5;4;4;2;4;4;2;39401;45796,67;36578;32455;32477;43993,33;1;36;1;3;4;1,33333333333333;3;2;1;0,920574617898323;0,823272602348565;0,875595035770913;-0,0523224334223485;33,0707397526287;-0,492951759018117;0,917399759794695;0,093
0;4;3;2;4;4;4;5;4;5;5;5;4;4;3;4;4;3;5;4;3;5;2;4;3;3;4;3;3;5;5;4;4;5;5;3;3;4;3;2;3;3;4;2;3;3;5;3;2;5;3;4;3;3;3;3;3;2;3;4;2;111181,2;112257,65;76760,85;91079,75;82867,2;71503;2;64;1;5;3;1,27659574468085;3;1;2;1,09066402828684;1,03279555898864;0,843274042711568;0,189521516277077;42,6651682673944;-0,0971931314097169;0,87099551774408;0,1338
1;3;2;3;2;4;5;2;3;5;2;2;2;4;3;4;3;3;3;4;4;2;3;4;3;1;2;3;5;1;3;3;3;3;3;3;2;5;3;2;3;4;2;3;5;3;3;1;2;2;1;2;3;4;3;1;3;2;1;4;2;45796;19319;21474;22325;25612;18560;2;39;2;3;7;1,17647058823529;7;1;6;1,07079884641866;0,471404520791032;1,49071198499986;-1,01930746420883;83,2730377364464;-0,0373959425387463;-0,195599554565149;0,2093
0;2;2;4;4;2;3;1;4;4;3;3;4;4;3;4;4;2;3;4;3;4;3;4;2;4;4;5;2;5;5;2;4;2;3;4;4;3;2;5;1;4;4;4;2;4;3;4;4;4;4;4;4;4;3;3;4;3;4;4;4;74773;62613;50286;46728,89;48023;59640;2;67;1;5;6;1,3953488372093;3;2;1;1,04300196900324;1,07496769977314;1,31656117720877;-0,241593477435627;51,2491288342809;-0,184690783999625;0,883469694422579;0,1222
0;1;5;5;5;2;5;4;2;5;4;2;5;5;1;4;2;4;5;1;2;4;1;4;3;1;1;5;5;5;4;2;3;1;5;1;3;1;1;4;5;3;5;5;1;2;3;4;4;5;3;4;2;2;3;5;5;1;5;5;1;62336;64648;49472;45915;48175;51406;2;64;1;5;5;1,33333333333333;2;4;-2;1,60190564482283;1,64654520469713;1,91195071996;-0,265405515262869;95,6077247656327;-0,133090811709083;0,910523105267675;0,3665
0;3;5;3;5;5;5;1;3;5;5;5;3;5;5;5;3;3;3;5;1;5;3;1;3;1;1;5;3;5;4;2;1;1;5;3;3;3;3;1;3;3;3;1;3;1;1;1;3;5;1;5;1;1;5;3;5;5;3;5;1;65587;74125,9;51610;64840;38522;79535,56;2;43;1;3;5;1,46341463414634;2;3;-1;1,53343158614218;1,34989711542111;1,75119007154183;-0,401292956120721;89,5764456933583;-0,182010954411764;0,945137913641424;0,3342
1;4;4;2;5;4;2;4;2;5;2;1;1;4;4;2;5;2;2;2;2;5;2;1;4;2;2;4;2;5;4;1;1;4;4;5;2;5;4;2;2;3;1;4;2;1;4;4;2;5;5;4;2;1;4;2;4;4;2;4;1;32772,7;44685;21472,22;32022,22;44672,11;22750;1;29;1;6;4;1,36363636363636;2;3;-1;1,38382504364259;1,44913767461894;1,44913767461894;0;77,7753962917853;-0,7013966228192;0,920231624859009;0,2605
0;5;2;5;3;4;1;5;4;5;5;4;4;5;3;4;4;3;2;4;4;3;5;2;3;5;4;4;2;3;3;4;4;1;3;5;4;2;5;4;2;3;3;1;4;3;3;4;4;3;4;2;1;4;5;5;2;3;4;5;4;52684;59987,5;41351,11;53554,44;53035,56;55011,25;2;42;1;3;2;1,15384615384615;2;2;0;1,27325819874759;1,49071198499986;1,22927259430572;0,261439390694141;65,8184069847294;-0,0655403131366345;0,832111823134125;0,2185
