i;Accuracy;Kappa;AccuracyLower;AccuracyUpper;AccuracyNull;AccuracyPValue;McnemarPValue;Sensitivity;Specificity;Pos.Pred.Value;Neg.Pred.Value;Precision;Recall;F1;Prevalence;Detection.Rate;Detection.Prevalence;Balanced.Accuracy;AUC
1;0,677777777778;0,232804232804;0,604210909908;0,745375087141;0,8;0,99996177356;0,000140159543;0,611111111111;0,694444444444;0,333333333333;0,877192982456;0,333333333333;0,611111111111;0,43137254902;0,2;0,122222222222;0,366666666667;0,652777777778;0,73900462963
2;0,688888888889;0,282051282051;0,615764615659;0,755667610229;0,8;0,99985355489;1,0346112e-05;0,694444444444;0,6875;0,357142857143;0,9;0,357142857143;0,694444444444;0,471698113208;0,2;0,138888888889;0,388888888889;0,690972222222;0,751736111111
3;0,7;0,25;0,627362758361;0,765915075219;0,8;0,999490484861;0,001748637005;0,583333333333;0,729166666667;0,35;0,875;0,35;0,583333333333;0,4375;0,2;0,116666666667;0,333333333333;0,65625;0,681520061728
4;0,727777777778;0,325068870523;0,656561717112;0,791326936824;0,8;0,992497365266;0,000606766846;0,666666666667;0,743055555556;0,393442622951;0,899159663866;0,393442622951;0,666666666667;0,494845360825;0,2;0,133333333333;0,338888888889;0,704861111111;0,759452160494
5;0,705555555556;0,281842818428;0,633178907282;0,771021475632;0,8;0,999083606;0,000355112479;0,638888888889;0,722222222222;0,365079365079;0,888888888889;0,365079365079;0,638888888889;0,464646464646;0,2;0,127777777778;0,35;0,680555555556;0,721836419753
6;0,711111111111;0,22619047619;0,639006680354;0,776116069694;0,8;0,998391591559;0,037514001616;0,5;0,763888888889;0,346153846154;0,859375;0,346153846154;0,5;0,409090909091;0,2;0,1;0,288888888889;0,631944444444;0,678240740741
7;0,7;0,210526315789;0,627362758361;0,765915075219;0,8;0,999490484861;0,020700273726;0,5;0,75;0,333333333333;0,857142857143;0,333333333333;0,5;0,4;0,2;0,1;0,3;0,625;0,66512345679
8;0,738888888889;0,281345565749;0,668327012507;0,801404462994;0,8;0,981495657599;0,080052782358;0,527777777778;0,791666666667;0,387755102041;0,870229007634;0,387755102041;0,527777777778;0,447058823529;0,2;0,105555555556;0,272222222222;0,659722222222;0,768132716049
9;0,722222222222;0,228395061728;0,650697876994;0,786269019652;0,8;0,995397388573;0,119794930426;0,472222222222;0,784722222222;0,354166666667;0,856060606061;0,354166666667;0,472222222222;0,404761904762;0,2;0,094444444444;0,266666666667;0,628472222222;0,728973765432
10;0,761111111111;0,365781710914;0,692015266218;0,821398682403;0,8;0,916522543384;0,014688191946;0,638888888889;0,791666666667;0,433962264151;0,897637795276;0,433962264151;0,638888888889;0,516853932584;0,2;0,127777777778;0,294444444444;0,715277777778;0,77912808642
