i;Accuracy;Kappa;AccuracyLower;AccuracyUpper;AccuracyNull;AccuracyPValue;McnemarPValue;Sensitivity;Specificity;Pos.Pred.Value;Neg.Pred.Value;Precision;Recall;F1;Prevalence;Detection.Rate;Detection.Prevalence;Balanced.Accuracy;AUC
1;0,577777777778;0,155555555556;0,502064154737;0,650886519682;0,8;0,999999999997;1,205e-09;0,694444444444;0,548611111111;0,277777777778;0,877777777778;0,277777777778;0,694444444444;0,396825396825;0,2;0,138888888889;0,5;0,621527777778;0,76138117284
2;0,611111111111;0,242424242424;0,535762332416;0,682736380276;0,8;0,999999998314;1e-11;0,833333333333;0,555555555556;0,31914893617;0,93023255814;0,31914893617;0,833333333333;0,461538461538;0,2;0,166666666667;0,522222222222;0,694444444444;0,718557098765
3;0,627777777778;0,134366925065;0,552739567924;0,698532262423;0,8;0,999999971759;9,2517138e-05;0,527777777778;0,652777777778;0,275362318841;0,846846846847;0,275362318841;0,527777777778;0,361904761905;0,2;0,105555555556;0,383333333333;0,590277777778;0,644290123457
4;0,6;0,142857142857;0,524492080282;0,67215752491;0,8;0,99999999977;4,02866e-07;0,611111111111;0,597222222222;0,275;0,86;0,275;0,611111111111;0,379310344828;0,2;0,122222222222;0,444444444444;0,604166666667;0,659722222222
5;0,616666666667;0,184397163121;0,541411755637;0,688011406613;0,8;0,999999995587;1,17735e-07;0,666666666667;0,604166666667;0,296296296296;0,878787878788;0,296296296296;0,666666666667;0,410256410256;0,2;0,133333333333;0,45;0,635416666667;0,68074845679
6;0,677777777778;0,232804232804;0,604210909908;0,745375087141;0,8;0,99996177356;0,000140159543;0,611111111111;0,694444444444;0,333333333333;0,877192982456;0,333333333333;0,611111111111;0,43137254902;0,2;0,122222222222;0,366666666667;0,652777777778;0,690972222222
7;0,594444444444;0,098765432099;0,518871116442;0,666853839413;0,8;0,999999999918;8,684975e-06;0,527777777778;0,611111111111;0,253333333333;0,838095238095;0,253333333333;0,527777777778;0,342342342342;0,2;0,105555555556;0,416666666667;0,569444444444;0,637538580247
8;0,666666666667;0,242424242424;0,592700435515;0,735038774369;0,8;0,99999092921;6,228499e-06;0,666666666667;0,666666666667;0,333333333333;0,888888888889;0,333333333333;0,666666666667;0,444444444444;0,2;0,133333333333;0,4;0,666666666667;0,719521604938
9;0,688888888889;0,270833333333;0,615764615659;0,755667610229;0,8;0,99985355489;3,4346658e-05;0,666666666667;0,694444444444;0,352941176471;0,892857142857;0,352941176471;0,666666666667;0,461538461538;0,2;0,133333333333;0,377777777778;0,680555555556;0,757330246914
10;0,65;0,233576642336;0,575513445123;0,719454659607;0,8;0,999999121319;4,66685e-07;0,694444444444;0,638888888889;0,324675324675;0,893203883495;0,324675324675;0,694444444444;0,442477876106;0,2;0,138888888889;0,427777777778;0,666666666667;0,712962962963
