i;Accuracy;Kappa;AccuracyLower;AccuracyUpper;AccuracyNull;AccuracyPValue;McnemarPValue;Sensitivity;Specificity;Pos.Pred.Value;Neg.Pred.Value;Precision;Recall;F1;Prevalence;Detection.Rate;Detection.Prevalence;Balanced.Accuracy;AUC
1;0,694444444444;0,266666666667;0,621558051877;0,760797059695;0,8;0,999723515481;0,000159674705;0,638888888889;0,708333333333;0,353846153846;0,886956521739;0,353846153846;0,638888888889;0,455445544554;0,2;0,127777777778;0,361111111111;0,673611111111;0,71768904321
2;0,694444444444;0,266666666667;0,621558051877;0,760797059695;0,8;0,999723515481;0,000159674705;0,638888888889;0,708333333333;0,353846153846;0,886956521739;0,353846153846;0,638888888889;0,455445544554;0,2;0,127777777778;0,361111111111;0,673611111111;0,740740740741
3;0,716666666667;0,273504273504;0,644846269403;0,781198655469;0,8;0,997245442641;0,005101399646;0,583333333333;0,75;0,368421052632;0,878048780488;0,368421052632;0,583333333333;0,451612903226;0,2;0,116666666667;0,316666666667;0,666666666667;0,660686728395
4;0,716666666667;0,273504273504;0,644846269403;0,781198655469;0,8;0,997245442641;0,005101399646;0,583333333333;0,75;0,368421052632;0,878048780488;0,368421052632;0,583333333333;0,451612903226;0,2;0,116666666667;0,316666666667;0,666666666667;0,721836419753
5;0,622222222222;0,141414141414;0,547070807797;0,693276728566;0,8;0,999999988709;2,1920504e-05;0,555555555556;0,638888888889;0,277777777778;0,851851851852;0,277777777778;0,555555555556;0,37037037037;0,2;0,111111111111;0,4;0,597222222222;0,70775462963
6;0,727777777778;0,264264264264;0,656561717112;0,791326936824;0,8;0,992497365266;0,045500263896;0,527777777778;0,777777777778;0,372549019608;0,868217054264;0,372549019608;0,527777777778;0,436781609195;0,2;0,105555555556;0,283333333333;0,652777777778;0,701967592593
7;0,7;0,210526315789;0,627362758361;0,765915075219;0,8;0,999490484861;0,020700273726;0,5;0,75;0,333333333333;0,857142857143;0,333333333333;0,5;0,4;0,2;0,1;0,3;0,625;0,654320987654
8;0,727777777778;0,250764525994;0,656561717112;0,791326936824;0,8;0,992497365266;0,086476265494;0,5;0,784722222222;0,367346938776;0,862595419847;0,367346938776;0,5;0,423529411765;0,2;0,1;0,272222222222;0,642361111111;0,729359567901
9;0,672222222222;0,159544159544;0,598450339192;0,740212330392;0,8;0,999981156818;0,009220239891;0,472222222222;0,722222222222;0,298245614035;0,845528455285;0,298245614035;0,472222222222;0,365591397849;0,2;0,094444444444;0,316666666667;0,597222222222;0,670138888889
10;0,677777777778;0,299516908213;0,604210909908;0,745375087141;0,8;0,99996177356;7,3025e-08;0,777777777778;0,652777777778;0,358974358974;0,921568627451;0,358974358974;0,777777777778;0,491228070175;0,2;0,155555555556;0,433333333333;0,715277777778;0,761959876543
