Careless;sex;age;SO04;SO06
0;1;50;1;5
0;1;26;1;3
0;1;24;1;1
1;2;22;1;3
0;1;24;1;1
1;1;22;1;1
0;1;26;1;4
0;1;19;1;1
1;1;27;1;1
0;2;28;1;1
1;1;21;1;1
0;1;23;1;1
0;1;22;1;1
1;1;21;1;1
0;1;29;1;1
0;1;26;1;6
1;1;24;1;1
0;1;27;1;3
1;2;67;1;6
0;1;21;1;1
0;1;36;1;3
0;2;64;1;5
1;2;39;2;3
0;2;67;1;5
0;2;64;1;5
0;2;43;1;3
1;1;29;1;6
0;2;42;1;3
1;1;30;1;3
0;1;90;1;5
1;1;64;1;5
0;1;36;1;3
1;1;25;1;1
0;1;51;1;3
0;1;39;1;3
0;1;28;1;3
0;1;26;1;1
1;1;65;1;5
1;1;23;1;1
0;1;51;1;3
0;2;65;1;5
1;2;28;1;3
0;1;29;1;1
1;1;62;2;5
0;1;77;1;5
1;1;24;1;1
0;1;56;1;3
1;2;88;1;5
1;1;67;1;5
0;1;26;1;1
1;2;30;1;1
1;1;31;1;1
0;3;28;1;3
1;1;28;1;3
0;2;24;1;2
0;1;48;1;4
1;1;36;1;3
1;2;34;1;3
0;1;20;1;1
1;1;41;1;1
0;1;26;1;1
1;1;23;1;1
0;1;30;1;3
0;1;20;1;1
0;2;18;1;1
1;2;21;1;1
0;1;24;1;1
1;1;27;1;1
0;1;21;1;1
0;1;25;1;1
0;1;25;1;1
1;1;29;1;3
1;1;24;1;1
0;1;25;1;1
1;1;22;1;1
0;1;25;1;1
1;1;18;1;1
1;1;26;1;1
0;1;45;1;3
0;1;23;1;3
0;1;65;1;5
1;3;99;4;6
0;2;45;1;1
1;1;23;1;1
0;1;27;1;3
1;1;45;1;4
0;2;60;1;3
0;2;29;1;3
1;1;25;1;1
1;1;24;1;1
0;1;36;1;3
0;1;56;1;3
0;1;23;1;6
1;1;23;1;1
0;1;21;1;1
1;1;20;1;1
0;1;41;1;3
1;1;21;1;1
0;1;40;1;3
1;2;26;1;1
0;1;21;1;1
1;2;20;1;1
0;1;24;1;1
0;1;20;1;1
1;2;30;1;3
1;1;21;1;1
1;1;20;1;1
0;1;21;1;1
1;1;22;1;1
0;1;18;1;1
0;2;23;1;1
1;1;21;1;1
1;1;35;1;3
0;1;20;1;1
0;2;22;1;1
0;1;53;1;6
1;2;26;1;1
1;1;20;2;1
0;1;28;1;3
0;1;21;1;1
0;1;34;1;5
0;1;45;1;3
1;1;23;1;1
1;1;19;1;1
0;2;20;1;1
1;1;30;1;3
0;1;25;1;6
0;1;64;1;5
1;1;35;1;6
0;1;20;1;1
0;1;28;1;1
0;2;19;1;1
1;1;29;1;1
0;1;28;1;3
0;1;25;1;1
0;1;25;1;1
1;1;27;1;3
1;1;42;1;6
0;1;42;1;6
1;1;58;1;1
0;2;56;1;6
1;1;33;1;4
0;1;24;1;1
0;2;16;1;1
0;1;22;1;1
1;1;31;1;3
1;2;22;1;1
0;1;26;1;3
1;1;32;1;3
1;1;39;1;3
0;1;18;1;6
1;1;22;1;3
1;2;38;1;1
0;2;30;1;1
0;2;23;1;1
0;1;25;1;1
1;1;55;1;1
0;1;46;1;6
1;1;31;1;3
0;1;25;1;3
1;1;26;1;3
0;1;28;1;3
0;2;31;1;6
0;1;21;1;1
1;1;23;1;1
0;1;26;1;1
1;1;24;1;1
0;1;25;1;1
0;2;28;1;3
1;2;26;1;1
1;1;23;1;1
0;1;27;2;1
1;1;20;1;1
1;1;22;1;1
0;1;28;1;1
1;1;20;1;1
0;1;21;1;1
1;1;43;1;3
0;1;23;1;1
1;1;27;1;1
0;1;46;1;1
0;1;41;1;3
1;1;31;1;1
0;1;24;1;3
1;1;24;1;1
1;1;21;1;1
0;1;59;1;6
0;1;32;1;1
1;1;29;1;3
0;1;21;1;1
1;1;22;1;1
0;2;23;1;1
0;1;24;1;1
0;1;20;1;1
1;1;20;1;1
0;2;29;2;4
0;1;19;1;1
1;1;23;1;1
1;2;24;1;1
0;1;25;1;3
0;1;23;1;1
1;1;20;1;1
1;1;22;1;1
0;1;31;1;1
1;1;23;1;1
0;1;26;1;1
1;1;21;1;1
0;1;23;1;1
0;1;22;1;1
1;1;29;1;1
0;1;24;1;1
1;1;26;1;3
0;1;21;1;1
0;1;30;1;3
0;3;25;1;1
1;1;19;1;1
0;2;22;1;1
0;1;24;1;1
1;1;25;1;1
0;1;21;1;1
0;1;26;3;1
