i;Accuracy;Kappa;AccuracyLower;AccuracyUpper;AccuracyNull;AccuracyPValue;McnemarPValue;Sensitivity;Specificity;Pos.Pred.Value;Neg.Pred.Value;Precision;Recall;F1;Prevalence;Detection.Rate;Detection.Prevalence;Balanced.Accuracy;AUC
1;0,527777777778;0,074074074074;0,452136086079;0,602489610295;0,8;1;1,247e-09;0,611111111111;0,506944444444;0,236559139785;0,83908045977;0,236559139785;0,611111111111;0,341085271318;0,2;0,122222222222;0,516666666667;0,559027777778;0,578896604938
2;0,533333333333;0,078947368421;0,457647642549;0,607903158451;0,8;1;1,961e-09;0,611111111111;0,513888888889;0,239130434783;0,840909090909;0,239130434783;0,611111111111;0,34375;0,2;0,122222222222;0,511111111111;0,5625;0,52025462963
3;0,516666666667;0,039735099338;0,441139739717;0,591635703246;0,8;1;7,064e-09;0,555555555556;0,506944444444;0,21978021978;0,820224719101;0,21978021978;0,555555555556;0,314960629921;0,2;0,111111111111;0,505555555556;0,53125;0,529610339506
4;0,516666666667;0;0,441139739717;0,591635703246;0,8;1;2,65901e-07;0,472222222222;0,527777777778;0,2;0,8;0,2;0,472222222222;0,280991735537;0,2;0,094444444444;0,472222222222;0,5;0,503375771605
5;0,461111111111;-0,01677148847;0,386692255544;0,536831857836;0,8;1;3,07e-10;0,527777777778;0,444444444444;0,191919191919;0,79012345679;0,191919191919;0,527777777778;0,281481481481;0,2;0,105555555556;0,55;0,486111111111;0,473283179012
6;0,444444444444;-0,016260162602;0,370532519357;0,520216483947;0,8;1;2,1e-11;0,555555555556;0,416666666667;0,192307692308;0,789473684211;0,192307692308;0,555555555556;0,285714285714;0,2;0,111111111111;0,577777777778;0,486111111111;0,541377314815
7;0,516666666667;-0,124031007752;0,441139739717;0,591635703246;0,8;1;0,000601892614;0,25;0,583333333333;0,130434782609;0,756756756757;0,130434782609;0,25;0,171428571429;0,2;0,05;0,383333333333;0,416666666667;0,476176697531
8;0,533333333333;0,027777777778;0,457647642549;0,607903158451;0,8;1;2,92649e-07;0,5;0,541666666667;0,214285714286;0,8125;0,214285714286;0,5;0,3;0,2;0,1;0,466666666667;0,520833333333;0,514756944444
9;0,427777777778;0,007707129094;0,354454485946;0,503519698322;0,8;1;0;0,638888888889;0,375;0,203539823009;0,805970149254;0,203539823009;0,638888888889;0,308724832215;0,2;0,127777777778;0,627777777778;0,506944444444;0,530864197531
10;0,55;-0,015037593985;0,474236053882;0,624089933907;0,8;1;6,3342484e-05;0,388888888889;0,590277777778;0,191780821918;0,794392523364;0,191780821918;0,388888888889;0,256880733945;0,2;0,077777777778;0,405555555556;0,489583333333;0,468846450617
11;0,527777777778;0,049217002237;0,452136086079;0,602489610295;0,8;1;1,6986e-08;0,555555555556;0,520833333333;0,224719101124;0,824175824176;0,224719101124;0,555555555556;0,32;0,2;0,111111111111;0,494444444444;0,538194444444;0,54899691358
12;0,505555555556;0,030501089325;0,430179010543;0,580746141292;0,8;1;2,921e-09;0,555555555556;0,493055555556;0,215053763441;0,816091954023;0,215053763441;0,555555555556;0,31007751938;0,2;0,111111111111;0,516666666667;0,524305555556;0,546875
13;0,522222222222;0,044444444444;0,446633456207;0,597067119758;0,8;1;1,0962e-08;0,555555555556;0,513888888889;0,222222222222;0,822222222222;0,222222222222;0,555555555556;0,31746031746;0,2;0,111111111111;0,5;0,534722222222;0,542727623457
14;0,5;0,038461538462;0,424711987901;0,575288012099;0,8;1;5e-10;0,583333333333;0,479166666667;0,21875;0,821428571429;0,21875;0,583333333333;0,318181818182;0,2;0,116666666667;0,533333333333;0,53125;0,562982253086
15;0,477777777778;0,008438818565;0,402932880242;0,553366543793;0,8;1;3,14e-10;0,555555555556;0,458333333333;0,204081632653;0,80487804878;0,204081632653;0,555555555556;0,298507462687;0,2;0,111111111111;0,544444444444;0,506944444444;0,484953703704
16;0,455555555556;-0,074561403509;0,381296654856;0,531302395162;0,8;1;2,7628e-08;0,416666666667;0,465277777778;0,163043478261;0,761363636364;0,163043478261;0,416666666667;0,234375;0,2;0,083333333333;0,511111111111;0,440972222222;0,430941358025
17;0,527777777778;0,049217002237;0,452136086079;0,602489610295;0,8;1;1,6986e-08;0,555555555556;0,520833333333;0,224719101124;0,824175824176;0,224719101124;0,555555555556;0,32;0,2;0,111111111111;0,494444444444;0,538194444444;0,51986882716
18;0,5;0,038461538462;0,424711987901;0,575288012099;0,8;1;5e-10;0,583333333333;0,479166666667;0,21875;0,821428571429;0,21875;0,583333333333;0,318181818182;0,2;0,116666666667;0,533333333333;0,53125;0,488136574074
19;0,411111111111;-0,064257028112;0,338459263092;0,4867404886;0,8;1;2,1e-11;0,5;0,388888888889;0,169811320755;0,756756756757;0,169811320755;0,5;0,253521126761;0,2;0,1;0,588888888889;0,444444444444;0,413869598765
20;0,527777777778;0,097664543524;0,452136086079;0,602489610295;0,8;1;7,6e-11;0,666666666667;0,493055555556;0,247422680412;0,855421686747;0,247422680412;0,666666666667;0,360902255639;0,2;0,133333333333;0,538888888889;0,579861111111;0,606577932099
21;0,466666666667;0;0,392096841549;0,542352357451;0,8;1;1,28e-10;0,555555555556;0,444444444444;0,2;0,8;0,2;0,555555555556;0,294117647059;0,2;0,111111111111;0,555555555556;0,5;0,406828703704
22;0,511111111111;0,022222222222;0,435654926701;0,586195373834;0,8;1;1,6062e-08;0,527777777778;0,506944444444;0,211111111111;0,811111111111;0,211111111111;0,527777777778;0,301587301587;0,2;0,105555555556;0,5;0,517361111111;0,524209104938
23;0,5;-0,013513513514;0,424711987901;0,575288012099;0,8;1;7,6213e-08;0,472222222222;0,506944444444;0,193181818182;0,79347826087;0,193181818182;0,472222222222;0,274193548387;0,2;0,094444444444;0,488888888889;0,489583333333;0,463638117284
24;0,533333333333;-0,029411764706;0,457647642549;0,607903158451;0,8;1;2,0881663e-05;0,388888888889;0,569444444444;0,184210526316;0,788461538462;0,184210526316;0,388888888889;0,25;0,2;0,077777777778;0,422222222222;0,479166666667;0,497395833333
25;0,522222222222;0,104166666667;0,446633456207;0,597067119758;0,8;1;1,1e-11;0,694444444444;0,479166666667;0,25;0,8625;0,25;0,694444444444;0,367647058824;0,2;0,138888888889;0,555555555556;0,586805555556;0,57600308642
26;0,427777777778;-0,079664570231;0,354454485946;0,503519698322;0,8;1;1,002e-09;0,444444444444;0,423611111111;0,161616161616;0,753086419753;0,161616161616;0,444444444444;0,237037037037;0,2;0,088888888889;0,55;0,434027777778;0,473186728395
27;0,511111111111;0,071729957806;0,435654926701;0,586195373834;0,8;1;7,9e-11;0,638888888889;0,479166666667;0,234693877551;0,841463414634;0,234693877551;0,638888888889;0,34328358209;0,2;0,127777777778;0,544444444444;0,559027777778;0,56568287037
28;0,555555555556;0,122807017544;0,479783516053;0,629467480643;0,8;1;7,79e-10;0,666666666667;0,527777777778;0,260869565217;0,863636363636;0,260869565217;0,666666666667;0,375;0,2;0,133333333333;0,511111111111;0,597222222222;0,540412808642
29;0,516666666667;0,110429447853;0,441139739717;0,591635703246;0,8;1;1e-12;0,722222222222;0,465277777778;0,252427184466;0,87012987013;0,252427184466;0,722222222222;0,374100719424;0,2;0,144444444444;0,572222222222;0,59375;0,546778549383
30;0,455555555556;-0,074561403509;0,381296654856;0,531302395162;0,8;1;2,7628e-08;0,416666666667;0,465277777778;0,163043478261;0,761363636364;0,163043478261;0,416666666667;0,234375;0,2;0,083333333333;0,511111111111;0,440972222222;0,448784722222
31;0,5;-0,102941176471;0,424711987901;0,575288012099;0,8;1;3,9401583e-05;0,305555555556;0,548611111111;0,144736842105;0,759615384615;0,144736842105;0,305555555556;0,196428571429;0,2;0,061111111111;0,422222222222;0,427083333333;0,467303240741
32;0,533333333333;0,078947368421;0,457647642549;0,607903158451;0,8;1;1,961e-09;0,611111111111;0,513888888889;0,239130434783;0,840909090909;0,239130434783;0,611111111111;0,34375;0,2;0,122222222222;0,511111111111;0,5625;0,582561728395
33;0,566666666667;0,097222222222;0,490905604337;0,640195309823;0,8;1;1,02801e-07;0,583333333333;0,5625;0,25;0,84375;0,25;0,583333333333;0,35;0,2;0,116666666667;0,466666666667;0,572916666667;0,589313271605
