i;Accuracy;Kappa;AccuracyLower;AccuracyUpper;AccuracyNull;AccuracyPValue;McnemarPValue;Sensitivity;Specificity;Pos.Pred.Value;Neg.Pred.Value;Precision;Recall;F1;Prevalence;Detection.Rate;Detection.Prevalence;Balanced.Accuracy;AUC
1;0,611111111111;0,116161616162;0,535762332416;0,682736380276;0,8;0,999999998314;2,8730768e-05;0,527777777778;0,631944444444;0,263888888889;0,842592592593;0,263888888889;0,527777777778;0,351851851852;0,2;0,105555555556;0,4;0,579861111111;0,651427469136
2;0,638888888889;0,173027989822;0,564106553005;0,709013605267;0,8;0,999999835042;2,4737544e-05;0,583333333333;0,652777777778;0,295774647887;0,862385321101;0,295774647887;0,583333333333;0,392523364486;0,2;0,116666666667;0,394444444444;0,618055555556;0,644000771605
3;0,611111111111;0,129353233831;0,535762332416;0,682736380276;0,8;0,999999998314;9,7635e-06;0,555555555556;0,625;0,27027027027;0,849056603774;0,27027027027;0,555555555556;0,363636363636;0,2;0,111111111111;0,411111111111;0,590277777778;0,614197530864
4;0,622222222222;0,201877934272;0,547070807797;0,693276728566;0,8;0,999999988709;4,8411e-08;0,694444444444;0,604166666667;0,30487804878;0,887755102041;0,30487804878;0,694444444444;0,423728813559;0,2;0,138888888889;0,455555555556;0,649305555556;0,694444444444
5;0,627777777778;0,196642685851;0,552739567924;0,698532262423;0,8;0,999999971759;2,88028e-07;0,666666666667;0,618055555556;0,303797468354;0,881188118812;0,303797468354;0,666666666667;0,417391304348;0,2;0,133333333333;0,438888888889;0,642361111111;0,653935185185
6;0,6;0,10447761194;0,524492080282;0,67215752491;0,8;0,99999999977;1,2977044e-05;0,527777777778;0,618055555556;0,256756756757;0,839622641509;0,256756756757;0,527777777778;0,345454545455;0,2;0,105555555556;0,411111111111;0,572916666667;0,595486111111
7;0,644444444444;0,203980099502;0,569804961414;0,714239220485;0,8;0,999999614851;3,745984e-06;0,638888888889;0,645833333333;0,310810810811;0,877358490566;0,310810810811;0,638888888889;0,418181818182;0,2;0,127777777778;0,411111111111;0,642361111111;0,660976080247
8;0,633333333333;0,202898550725;0,558418119971;0,703777919364;0,8;0,999999930959;4,49386e-07;0,666666666667;0,625;0,307692307692;0,882352941176;0,307692307692;0,666666666667;0,421052631579;0,2;0,133333333333;0,433333333333;0,645833333333;0,715856481481
9;0,627777777778;0,120734908136;0,552739567924;0,698532262423;0,8;0,999999971759;0,000247258062;0,5;0,659722222222;0,268656716418;0,840707964602;0,268656716418;0,5;0,349514563107;0,2;0,1;0,372222222222;0,579861111111;0,587962962963
10;0,655555555556;0,228855721393;0,581232109834;0,724659811207;0,8;0,999998041455;2,614324e-06;0,666666666667;0,652777777778;0,324324324324;0,88679245283;0,324324324324;0,666666666667;0,436363636364;0,2;0,133333333333;0,411111111111;0,659722222222;0,711612654321
11;0,638888888889;0,119241192412;0,564106553005;0,709013605267;0,8;0,999999835042;0,001260153138;0,472222222222;0,680555555556;0,269841269841;0,837606837607;0,269841269841;0,472222222222;0,343434343434;0,2;0,094444444444;0,35;0,576388888889;0,58024691358
12;0,666666666667;0,206349206349;0,592700435515;0,735038774369;0,8;0,99999092921;0,000181197404;0,583333333333;0,6875;0,318181818182;0,868421052632;0,318181818182;0,583333333333;0,411764705882;0,2;0,116666666667;0,366666666667;0,635416666667;0,699652777778
13;0,572222222222;0,114942528736;0,496480301678;0,645545514054;0,8;0,999999999999;4,4976e-08;0,611111111111;0,5625;0,258823529412;0,852631578947;0,258823529412;0,611111111111;0,363636363636;0,2;0,122222222222;0,472222222222;0,586805555556;0,612654320988
14;0,611111111111;0,142156862745;0,535762332416;0,682736380276;0,8;0,999999998314;3,140785e-06;0,583333333333;0,618055555556;0,276315789474;0,855769230769;0,276315789474;0,583333333333;0,375;0,2;0,116666666667;0,422222222222;0,600694444444;0,619791666667
15;0,572222222222;0,076738609113;0,496480301678;0,645545514054;0,8;0,999999999999;1,698467e-06;0,527777777778;0,583333333333;0,240506329114;0,831683168317;0,240506329114;0,527777777778;0,330434782609;0,2;0,105555555556;0,438888888889;0,555555555556;0,600115740741
16;0,566666666667;0,097222222222;0,490905604337;0,640195309823;0,8;1;1,02801e-07;0,583333333333;0,5625;0,25;0,84375;0,25;0,583333333333;0,35;0,2;0,116666666667;0,466666666667;0,572916666667;0,595679012346
17;0,627777777778;0,172839506173;0,552739567924;0,698532262423;0,8;0,999999971759;3,443205e-06;0,611111111111;0,631944444444;0,293333333333;0,866666666667;0,293333333333;0,611111111111;0,396396396396;0,2;0,122222222222;0,416666666667;0,621527777778;0,649305555556
18;0,616666666667;0,184397163121;0,541411755637;0,688011406613;0,8;0,999999995587;1,17735e-07;0,666666666667;0,604166666667;0,296296296296;0,878787878788;0,296296296296;0,666666666667;0,410256410256;0,2;0,133333333333;0,45;0,635416666667;0,652199074074
19;0,605555555556;0,110275689223;0,53012246386;0,677451728356;0,8;0,99999999937;1,9336817e-05;0,527777777778;0,625;0,260273972603;0,841121495327;0,260273972603;0,527777777778;0,348623853211;0,2;0,105555555556;0,405555555556;0,576388888889;0,60725308642
20;0,677777777778;0,220430107527;0,604210909908;0,745375087141;0,8;0,99996177356;0,000392205622;0,583333333333;0,701388888889;0,328125;0,870689655172;0,328125;0,583333333333;0,42;0,2;0,116666666667;0,355555555556;0,642361111111;0,635706018519
21;0,594444444444;0,098765432099;0,518871116442;0,666853839413;0,8;0,999999999918;8,684975e-06;0,527777777778;0,611111111111;0,253333333333;0,838095238095;0,253333333333;0,527777777778;0,342342342342;0,2;0,105555555556;0,416666666667;0,569444444444;0,62818287037
22;0,633333333333;0,140625;0,558418119971;0,703777919364;0,8;0,999999930959;0,000135722509;0,527777777778;0,659722222222;0,279411764706;0,848214285714;0,279411764706;0,527777777778;0,365384615385;0,2;0,105555555556;0,377777777778;0,59375;0,615354938272
23;0,611111111111;0,166666666667;0,535762332416;0,682736380276;0,8;0,999999998314;2,75495e-07;0,638888888889;0,604166666667;0,2875;0,87;0,2875;0,638888888889;0,396551724138;0,2;0,127777777778;0,444444444444;0,621527777778;0,666666666667
24;0,638888888889;0,185463659148;0,564106553005;0,709013605267;0,8;0,999999835042;7,997514e-06;0,611111111111;0,645833333333;0,301369863014;0,869158878505;0,301369863014;0,611111111111;0,403669724771;0,2;0,122222222222;0,405555555556;0,628472222222;0,635898919753
25;0,644444444444;0,191919191919;0,569804961414;0,714239220485;0,8;0,999999614851;1,2143248e-05;0,611111111111;0,652777777778;0,305555555556;0,87037037037;0,305555555556;0,611111111111;0,407407407407;0,2;0,122222222222;0,4;0,631944444444;0,673804012346
26;0,55;0,068965517241;0,474236053882;0,624089933907;0,8;1;9,6426e-08;0,555555555556;0,548611111111;0,235294117647;0,831578947368;0,235294117647;0,555555555556;0,330578512397;0,2;0,111111111111;0,472222222222;0,552083333333;0,59799382716
27;0,655555555556;0,272300469484;0,581232109834;0,724659811207;0,8;0,999998041455;1,097e-08;0,777777777778;0,625;0,341463414634;0,918367346939;0,341463414634;0,777777777778;0,474576271186;0,2;0,155555555556;0,455555555556;0,701388888889;0,739679783951
28;0,566666666667;0,109589041096;0,490905604337;0,640195309823;0,8;1;2,887e-08;0,611111111111;0,555555555556;0,255813953488;0,851063829787;0,255813953488;0,611111111111;0,360655737705;0,2;0,122222222222;0,477777777778;0,583333333333;0,642361111111
29;0,627777777778;0,208037825059;0,552739567924;0,698532262423;0,8;0,999999971759;7,6389e-08;0,694444444444;0,611111111111;0,308641975309;0,888888888889;0,308641975309;0,694444444444;0,42735042735;0,2;0,138888888889;0,45;0,652777777778;0,650270061728
30;0,566666666667;0,109589041096;0,490905604337;0,640195309823;0,8;1;2,887e-08;0,611111111111;0,555555555556;0,255813953488;0,851063829787;0,255813953488;0,611111111111;0,360655737705;0,2;0,122222222222;0,477777777778;0,583333333333;0,616512345679
31;0,622222222222;0,154228855721;0,547070807797;0,693276728566;0,8;0,999999988709;7,22639e-06;0,583333333333;0,631944444444;0,283783783784;0,858490566038;0,283783783784;0,583333333333;0,381818181818;0,2;0,116666666667;0,411111111111;0,607638888889;0,615933641975
32;0,622222222222;0,166666666667;0,547070807797;0,693276728566;0,8;0,999999988709;2,251348e-06;0,611111111111;0,625;0,289473684211;0,865384615385;0,289473684211;0,611111111111;0,392857142857;0,2;0,122222222222;0,422222222222;0,618055555556;0,688850308642
33;0,533333333333;0,078947368421;0,457647642549;0,607903158451;0,8;1;1,961e-09;0,611111111111;0,513888888889;0,239130434783;0,840909090909;0,239130434783;0,611111111111;0,34375;0,2;0,122222222222;0,511111111111;0,5625;0,620273919753
34;0,633333333333;0,214285714286;0,558418119971;0,703777919364;0,8;0,999999930959;1,20369e-07;0,694444444444;0,618055555556;0,3125;0,89;0,3125;0,694444444444;0,431034482759;0,2;0,138888888889;0,444444444444;0,65625;0,686535493827
35;0,533333333333;0,027777777778;0,457647642549;0,607903158451;0,8;1;2,92649e-07;0,5;0,541666666667;0,214285714286;0,8125;0,214285714286;0,5;0,3;0,2;0,1;0,466666666667;0,520833333333;0,52237654321
36;0,65;0,146341463415;0,575513445123;0,719454659607;0,8;0,999999121319;0,001054034046;0,5;0,6875;0,285714285714;0,846153846154;0,285714285714;0,5;0,363636363636;0,2;0,1;0,35;0,59375;0,625385802469
37;0,594444444444;0,05684754522;0,518871116442;0,666853839413;0,8;0,999999999918;0,000180166345;0,444444444444;0,631944444444;0,231884057971;0,81981981982;0,231884057971;0,444444444444;0,304761904762;0,2;0,088888888889;0,383333333333;0,538194444444;0,60513117284
38;0,627777777778;0,219114219114;0,552739567924;0,698532262423;0,8;0,999999971759;1,9118e-08;0,722222222222;0,604166666667;0,313253012048;0,896907216495;0,313253012048;0,722222222222;0,436974789916;0,2;0,144444444444;0,461111111111;0,663194444444;0,66763117284
39;0,627777777778;0,134366925065;0,552739567924;0,698532262423;0,8;0,999999971759;9,2517138e-05;0,527777777778;0,652777777778;0,275362318841;0,846846846847;0,275362318841;0,527777777778;0,361904761905;0,2;0,105555555556;0,383333333333;0,590277777778;0,654031635802
40;0,544444444444;0,063926940639;0,468697604838;0,618703345144;0,8;1;6,2623e-08;0,555555555556;0,541666666667;0,232558139535;0,829787234043;0,232558139535;0,555555555556;0,327868852459;0,2;0,111111111111;0,477777777778;0,548611111111;0,574652777778
41;0,627777777778;0,172839506173;0,552739567924;0,698532262423;0,8;0,999999971759;3,443205e-06;0,611111111111;0,631944444444;0,293333333333;0,866666666667;0,293333333333;0,611111111111;0,396396396396;0,2;0,122222222222;0,416666666667;0,621527777778;0,674575617284
42;0,611111111111;0,166666666667;0,535762332416;0,682736380276;0,8;0,999999998314;2,75495e-07;0,638888888889;0,604166666667;0,2875;0,87;0,2875;0,638888888889;0,396551724138;0,2;0,127777777778;0,444444444444;0,621527777778;0,651234567901
43;0,627777777778;0,172839506173;0,552739567924;0,698532262423;0,8;0,999999971759;3,443205e-06;0,611111111111;0,631944444444;0,293333333333;0,866666666667;0,293333333333;0,611111111111;0,396396396396;0,2;0,122222222222;0,416666666667;0,621527777778;0,710551697531
44;0,661111111111;0,278959810875;0,586961067282;0,729854557565;0,8;0,999995735305;1,7646e-08;0,777777777778;0,631944444444;0,345679012346;0,919191919192;0,345679012346;0,777777777778;0,478632478632;0,2;0,155555555556;0,45;0,704861111111;0,752314814815
45;0,588888888889;0,106280193237;0,5132595114;0,661540736908;0,8;0,999999999971;1,877765e-06;0,555555555556;0,597222222222;0,25641025641;0,843137254902;0,25641025641;0,555555555556;0,350877192982;0,2;0,111111111111;0,433333333333;0,576388888889;0,68287037037
46;0,611111111111;0,088541666667;0,535762332416;0,682736380276;0,8;0,999999998314;0,000211216758;0,472222222222;0,645833333333;0,25;0,830357142857;0,25;0,472222222222;0,326923076923;0,2;0,094444444444;0,377777777778;0,559027777778;0,602527006173
47;0,633333333333;0,098360655738;0,558418119971;0,703777919364;0,8;0,999999930959;0,002088938772;0,444444444444;0,680555555556;0,258064516129;0,830508474576;0,258064516129;0,444444444444;0,326530612245;0,2;0,088888888889;0,344444444444;0,5625;0,588348765432
48;0,638888888889;0,185463659148;0,564106553005;0,709013605267;0,8;0,999999835042;7,997514e-06;0,611111111111;0,645833333333;0,301369863014;0,869158878505;0,301369863014;0,611111111111;0,403669724771;0,2;0,122222222222;0,405555555556;0,628472222222;0,665895061728
49;0,622222222222;0,201877934272;0,547070807797;0,693276728566;0,8;0,999999988709;4,8411e-08;0,694444444444;0,604166666667;0,30487804878;0,887755102041;0,30487804878;0,694444444444;0,423728813559;0,2;0,138888888889;0,455555555556;0,649305555556;0,670524691358
50;0,588888888889;0,177777777778;0,5132595114;0,661540736908;0,8;0,999999999971;7,22e-10;0,722222222222;0,555555555556;0,288888888889;0,888888888889;0,288888888889;0,722222222222;0,412698412698;0,2;0,144444444444;0,5;0,638888888889;0,655478395062
51;0,605555555556;0,136253041363;0,53012246386;0,677451728356;0,8;0,99999999937;2,063268e-06;0,583333333333;0,611111111111;0,272727272727;0,854368932039;0,272727272727;0,583333333333;0,371681415929;0,2;0,116666666667;0,427777777778;0,597222222222;0,598186728395
