i;Accuracy;Kappa;AccuracyLower;AccuracyUpper;AccuracyNull;AccuracyPValue;McnemarPValue;Sensitivity;Specificity;Pos.Pred.Value;Neg.Pred.Value;Precision;Recall;F1;Prevalence;Detection.Rate;Detection.Prevalence;Balanced.Accuracy;AUC
1;0,611111111111;0,142156862745;0,535762332416;0,682736380276;0,8;0,999999998314;3,140785e-06;0,583333333333;0,618055555556;0,276315789474;0,855769230769;0,276315789474;0,583333333333;0,375;0,2;0,116666666667;0,422222222222;0,600694444444;0,655671296296
2;0,633333333333;0,166666666667;0,558418119971;0,703777919364;0,8;0,999999930959;1,645869e-05;0,583333333333;0,645833333333;0,291666666667;0,861111111111;0,291666666667;0,583333333333;0,388888888889;0,2;0,116666666667;0,4;0,614583333333;0,635609567901
3;0,588888888889;0,119047619048;0,5132595114;0,661540736908;0,8;0,999999999971;5,77335e-07;0,583333333333;0,590277777778;0,2625;0,85;0,2625;0,583333333333;0,362068965517;0,2;0,116666666667;0,444444444444;0,586805555556;0,620949074074
4;0,616666666667;0,172661870504;0,541411755637;0,688011406613;0,8;0,999999995587;4,2768e-07;0,638888888889;0,611111111111;0,291139240506;0,871287128713;0,291139240506;0,638888888889;0,4;0,2;0,127777777778;0,438888888889;0,625;0,702160493827
5;0,6;0,142857142857;0,524492080282;0,67215752491;0,8;0,99999999977;4,02866e-07;0,611111111111;0,597222222222;0,275;0,86;0,275;0,611111111111;0,379310344828;0,2;0,122222222222;0,444444444444;0,604166666667;0,640817901235
6;0,605555555556;0,110275689223;0,53012246386;0,677451728356;0,8;0,99999999937;1,9336817e-05;0,527777777778;0,625;0,260273972603;0,841121495327;0,260273972603;0,527777777778;0,348623853211;0,2;0,105555555556;0,405555555556;0,576388888889;0,59375
7;0,655555555556;0,228855721393;0,581232109834;0,724659811207;0,8;0,999998041455;2,614324e-06;0,666666666667;0,652777777778;0,324324324324;0,88679245283;0,324324324324;0,666666666667;0,436363636364;0,2;0,133333333333;0,411111111111;0,659722222222;0,647569444444
8;0,65;0,233576642336;0,575513445123;0,719454659607;0,8;0,999999121319;4,66685e-07;0,694444444444;0,638888888889;0,324675324675;0,893203883495;0,324675324675;0,694444444444;0,442477876106;0,2;0,138888888889;0,427777777778;0,666666666667;0,71450617284
9;0,638888888889;0,146981627297;0,564106553005;0,709013605267;0,8;0,999999835042;0,000198402405;0,527777777778;0,666666666667;0,283582089552;0,849557522124;0,283582089552;0,527777777778;0,368932038835;0,2;0,105555555556;0,372222222222;0,597222222222;0,590663580247
10;0,65;0,222222222222;0,575513445123;0,719454659607;0,8;0,999999121319;1,688297e-06;0,666666666667;0,645833333333;0,32;0,885714285714;0,32;0,666666666667;0,432432432432;0,2;0,133333333333;0,416666666667;0,65625;0,696180555556
11;0,65;0,173228346457;0,575513445123;0,719454659607;0,8;0,999999121319;0,000157052284;0,555555555556;0,673611111111;0,298507462687;0,858407079646;0,298507462687;0,555555555556;0,388349514563;0,2;0,111111111111;0,372222222222;0,614583333333;0,658757716049
12;0,65;0,186046511628;0,575513445123;0,719454659607;0,8;0,999999121319;5,5393454e-05;0,583333333333;0,666666666667;0,304347826087;0,864864864865;0,304347826087;0,583333333333;0,4;0,2;0,116666666667;0,383333333333;0,625;0,685956790123
13;0,572222222222;0,114942528736;0,496480301678;0,645545514054;0,8;0,999999999999;4,4976e-08;0,611111111111;0,5625;0,258823529412;0,852631578947;0,258823529412;0,611111111111;0,363636363636;0,2;0,122222222222;0,472222222222;0,586805555556;0,627507716049
14;0,622222222222;0,154228855721;0,547070807797;0,693276728566;0,8;0,999999988709;7,22639e-06;0,583333333333;0,631944444444;0,283783783784;0,858490566038;0,283783783784;0,583333333333;0,381818181818;0,2;0,116666666667;0,411111111111;0,607638888889;0,62037037037
