i;Accuracy;Kappa;AccuracyLower;AccuracyUpper;AccuracyNull;AccuracyPValue;McnemarPValue;Sensitivity;Specificity;Pos.Pred.Value;Neg.Pred.Value;Precision;Recall;F1;Prevalence;Detection.Rate;Detection.Prevalence;Balanced.Accuracy;AUC
1;0,705555555556;0,269972451791;0,633178907282;0,771021475632;0,8;0,999083606;0,000978441192;0,611111111111;0,729166666667;0,360655737705;0,882352941176;0,360655737705;0,611111111111;0,453608247423;0,2;0,122222222222;0,338888888889;0,670138888889;0,732831790123
2;0,705555555556;0,281842818428;0,633178907282;0,771021475632;0,8;0,999083606;0,000355112479;0,638888888889;0,722222222222;0,365079365079;0,888888888889;0,365079365079;0,638888888889;0,464646464646;0,2;0,127777777778;0,35;0,680555555556;0,741319444444
3;0,711111111111;0,22619047619;0,639006680354;0,776116069694;0,8;0,998391591559;0,037514001616;0,5;0,763888888889;0,346153846154;0,859375;0,346153846154;0,5;0,409090909091;0,2;0,1;0,288888888889;0,631944444444;0,674768518519
4;0,711111111111;0,265536723164;0,639006680354;0,776116069694;0,8;0,998391591559;0,003589203043;0,583333333333;0,743055555556;0,362068965517;0,877049180328;0,362068965517;0,583333333333;0,446808510638;0,2;0,116666666667;0,322222222222;0,663194444444;0,719135802469
5;0,666666666667;0,206349206349;0,592700435515;0,735038774369;0,8;0,99999092921;0,000181197404;0,583333333333;0,6875;0,318181818182;0,868421052632;0,318181818182;0,583333333333;0,411764705882;0,2;0,116666666667;0,366666666667;0,635416666667;0,696759259259
6;0,777777777778;0,259259259259;0,709928795256;0,836243697931;0,8;0,800722459379;0,42919530044;0,361111111111;0,881944444444;0,433333333333;0,846666666667;0,433333333333;0,361111111111;0,393939393939;0,2;0,072222222222;0,166666666667;0,621527777778;0,729359567901
7;0,683333333333;0,188034188034;0,609982286547;0,750526898482;0,8;0,999924278077;0,008071487425;0,5;0,729166666667;0,315789473684;0,853658536585;0,315789473684;0,5;0,387096774194;0,2;0,1;0,316666666667;0,614583333333;0,668885030864
8;0,783333333333;0,315789473684;0,715929880029;0,841161387915;0,8;0,746270391984;1;0,444444444444;0,868055555556;0,457142857143;0,862068965517;0,457142857143;0,444444444444;0,450704225352;0,2;0,088888888889;0,194444444444;0,65625;0,783564814815
9;0,733333333333;0,245283018868;0,662438015907;0,796372168652;0,8;0,988069848766;0,193930852282;0,472222222222;0,798611111111;0,369565217391;0,858208955224;0,369565217391;0,472222222222;0,414634146341;0,2;0,094444444444;0,255555555556;0,635416666667;0,724344135802
10;0,761111111111;0,387464387464;0,692015266218;0,821398682403;0,8;0,916522543384;0,002288631539;0,694444444444;0,777777777778;0,438596491228;0,910569105691;0,438596491228;0,694444444444;0,537634408602;0,2;0,138888888889;0,316666666667;0,736111111111;0,774305555556
