i;Accuracy;Kappa;AccuracyLower;AccuracyUpper;AccuracyNull;AccuracyPValue;McnemarPValue;Sensitivity;Specificity;Pos.Pred.Value;Neg.Pred.Value;Precision;Recall;F1;Prevalence;Detection.Rate;Detection.Prevalence;Balanced.Accuracy;AUC
1;0,694444444444;0,266666666667;0,621558051877;0,760797059695;0,8;0,999723515481;0,000159674705;0,638888888889;0,708333333333;0,353846153846;0,886956521739;0,353846153846;0,638888888889;0,455445544554;0,2;0,127777777778;0,361111111111;0,673611111111;0,723765432099
2;0,688888888889;0,259259259259;0,615764615659;0,755667610229;0,8;0,99985355489;0,000106498662;0,638888888889;0,701388888889;0,348484848485;0,885964912281;0,348484848485;0,638888888889;0,450980392157;0,2;0,127777777778;0,366666666667;0,670138888889;0,735725308642
3;0,733333333333;0,272727272727;0,662438015907;0,796372168652;0,8;0,988069848766;0,060601969712;0,527777777778;0,784722222222;0,38;0,869230769231;0,38;0,527777777778;0,441860465116;0,2;0,105555555556;0,277777777778;0,65625;0,669174382716
4;0,688888888889;0,234972677596;0,615764615659;0,755667610229;0,8;0,99985355489;0,000835477492;0,583333333333;0,715277777778;0,338709677419;0,872881355932;0,338709677419;0,583333333333;0,428571428571;0,2;0,116666666667;0,344444444444;0,649305555556;0,681134259259
5;0,711111111111;0,239766081871;0,639006680354;0,776116069694;0,8;0,998391591559;0,018399652861;0,527777777778;0,756944444444;0,351851851852;0,865079365079;0,351851851852;0,527777777778;0,422222222222;0,2;0,105555555556;0,3;0,642361111111;0,681905864198
6;0,794444444444;0,291187739464;0,727979332133;0,850948224905;0,8;0,616599301513;0,188445417243;0,361111111111;0,902777777778;0,481481481481;0,849673202614;0,481481481481;0,361111111111;0,412698412698;0,2;0,072222222222;0,15;0,631944444444;0,722029320988
7;0,65;0,132231404959;0,575513445123;0,719454659607;0,8;0,999999121319;0,002496908915;0,472222222222;0,694444444444;0,27868852459;0,840336134454;0,27868852459;0,472222222222;0,350515463918;0,2;0,094444444444;0,338888888889;0,583333333333;0,629340277778
8;0,638888888889;0,133333333333;0,564106553005;0,709013605267;0,8;0,999999835042;0,000514727962;0,5;0,673611111111;0,276923076923;0,84347826087;0,276923076923;0,5;0,356435643564;0,2;0,1;0,361111111111;0,586805555556;0,622685185185
9;0,733333333333;0,245283018868;0,662438015907;0,796372168652;0,8;0,988069848766;0,193930852282;0,472222222222;0,798611111111;0,369565217391;0,858208955224;0,369565217391;0,472222222222;0,414634146341;0,2;0,094444444444;0,255555555556;0,635416666667;0,72193287037
10;0,65;0,210526315789;0,575513445123;0,719454659607;0,8;0,999999121319;5,744712e-06;0,638888888889;0,652777777778;0,315068493151;0,878504672897;0,315068493151;0,638888888889;0,422018348624;0,2;0,127777777778;0,405555555556;0,645833333333;0,684606481481
11;0,627777777778;0,092140921409;0,552739567924;0,698532262423;0,8;0,999999971759;0,001491123344;0,444444444444;0,673611111111;0,253968253968;0,82905982906;0,253968253968;0,444444444444;0,323232323232;0,2;0,088888888889;0,35;0,559027777778;0,632619598765
12;0,683333333333;0,227642276423;0,609982286547;0,750526898482;0,8;0,999924278077;0,000573633511;0,583333333333;0,708333333333;0,333333333333;0,871794871795;0,333333333333;0,583333333333;0,424242424242;0,2;0,116666666667;0,35;0,645833333333;0,691550925926
13;0,711111111111;0,277777777778;0,639006680354;0,776116069694;0,8;0,998391591559;0,001425062562;0,611111111111;0,736111111111;0,366666666667;0,883333333333;0,366666666667;0,611111111111;0,458333333333;0,2;0,122222222222;0,333333333333;0,673611111111;0,720486111111
14;0,688888888889;0,181286549708;0,615764615659;0,755667610229;0,8;0,99985355489;0,023103393802;0,472222222222;0,743055555556;0,314814814815;0,849206349206;0,314814814815;0,472222222222;0,377777777778;0,2;0,094444444444;0,3;0,607638888889;0,648919753086
15;0,655555555556;0,179894179894;0,581232109834;0,724659811207;0,8;0,999998041455;0,000230501828;0,555555555556;0,680555555556;0,30303030303;0,859649122807;0,30303030303;0,555555555556;0,392156862745;0,2;0,111111111111;0,366666666667;0,618055555556;0,663194444444
16;0,672222222222;0,20054200542;0,598450339192;0,740212330392;0,8;0,999981156818;0,000712011587;0,555555555556;0,701388888889;0,31746031746;0,863247863248;0,31746031746;0,555555555556;0,40404040404;0,2;0,111111111111;0,35;0,628472222222;0,62712191358
17;0,577777777778;0,06862745098;0,502064154737;0,650886519682;0,8;0,999999999997;7,691111e-06;0,5;0,597222222222;0,236842105263;0,826923076923;0,236842105263;0,5;0,321428571429;0,2;0,1;0,422222222222;0,548611111111;0,638985339506
18;0,616666666667;0,148148148148;0,541411755637;0,688011406613;0,8;0,999999995587;4,769885e-06;0,583333333333;0,625;0,28;0,857142857143;0,28;0,583333333333;0,378378378378;0,2;0,116666666667;0,416666666667;0,604166666667;0,654803240741
19;0,766666666667;0,375;0,697971860597;0,826361950372;0,8;0,885665471017;0,020637558244;0,638888888889;0,798611111111;0,442307692308;0,8984375;0,442307692308;0,638888888889;0,522727272727;0,2;0,127777777778;0,288888888889;0,71875;0,763117283951
20;0,7;0,181818181818;0,627362758361;0,765915075219;0,8;0,999490484861;0,076881204909;0,444444444444;0,763888888889;0,32;0,846153846154;0,32;0,444444444444;0,372093023256;0,2;0,088888888889;0,277777777778;0,604166666667;0,609182098765
21;0,755555555556;0,281045751634;0,686072794439;0,816420971574;0,8;0,940541969033;0,450982319269;0,472222222222;0,826388888889;0,404761904762;0,86231884058;0,404761904762;0,472222222222;0,435897435897;0,2;0,094444444444;0,233333333333;0,649305555556;0,675733024691
22;0,672222222222;0,129793510324;0,598450339192;0,740212330392;0,8;0,999981156818;0,037249165807;0,416666666667;0,736111111111;0,283018867925;0,834645669291;0,283018867925;0,416666666667;0,337078651685;0,2;0,083333333333;0,294444444444;0,576388888889;0,619212962963
23;0,722222222222;0,242424242424;0,650697876994;0,786269019652;0,8;0,995397388573;0,065992055059;0,5;0,777777777778;0,36;0,861538461538;0,36;0,5;0,418604651163;0,2;0,1;0,277777777778;0,638888888889;0,686149691358
24;0,761111111111;0,365781710914;0,692015266218;0,821398682403;0,8;0,916522543384;0,014688191946;0,638888888889;0,791666666667;0,433962264151;0,897637795276;0,433962264151;0,638888888889;0,516853932584;0,2;0,127777777778;0,294444444444;0,715277777778;0,77912808642
25;0,672222222222;0,173669467787;0,598450339192;0,740212330392;0,8;0,999981156818;0,004181219799;0,5;0,715277777778;0,305084745763;0,851239669421;0,305084745763;0,5;0,378947368421;0,2;0,1;0,327777777778;0,607638888889;0,668499228395
26;0,7;0,196428571429;0,627362758361;0,765915075219;0,8;0,999490484861;0,041226833337;0,472222222222;0,756944444444;0,326923076923;0,8515625;0,326923076923;0,472222222222;0,386363636364;0,2;0,094444444444;0,288888888889;0,614583333333;0,666280864198
27;0,577777777778;0,12037037037;0,502064154737;0,650886519682;0,8;0,999999999997;6,9962e-08;0,611111111111;0,569444444444;0,261904761905;0,854166666667;0,261904761905;0,611111111111;0,366666666667;0,2;0,122222222222;0,466666666667;0,590277777778;0,650848765432
28;0,777777777778;0,346405228758;0,709928795256;0,836243697931;0,8;0,800722459379;0,42919530044;0,527777777778;0,840277777778;0,452380952381;0,876811594203;0,452380952381;0,527777777778;0,487179487179;0,2;0,105555555556;0,233333333333;0,684027777778;0,722800925926
29;0,711111111111;0,197530864198;0,639006680354;0,776116069694;0,8;0,998391591559;0,1271529926;0,444444444444;0,777777777778;0,333333333333;0,848484848485;0,333333333333;0,444444444444;0,380952380952;0,2;0,088888888889;0,266666666667;0,611111111111;0,682388117284
30;0,716666666667;0,32;0,644846269403;0,781198655469;0,8;0,997245442641;8,8261263e-05;0,694444444444;0,722222222222;0,384615384615;0,904347826087;0,384615384615;0,694444444444;0,49504950495;0,2;0,138888888889;0,361111111111;0,708333333333;0,767361111111
31;0,683333333333;0,214876033058;0,609982286547;0,750526898482;0,8;0,999924278077;0,001478464797;0,555555555556;0,715277777778;0,327868852459;0,865546218487;0,327868852459;0,555555555556;0,412371134021;0,2;0,111111111111;0,338888888889;0,635416666667;0,710358796296
32;0,727777777778;0,325068870523;0,656561717112;0,791326936824;0,8;0,992497365266;0,000606766846;0,666666666667;0,743055555556;0,393442622951;0,899159663866;0,393442622951;0,666666666667;0,494845360825;0,2;0,133333333333;0,338888888889;0,704861111111;0,768518518519
33;0,655555555556;0,166666666667;0,581232109834;0,724659811207;0,8;0,999998041455;0,000605801874;0,527777777778;0,6875;0,296875;0,853448275862;0,296875;0,527777777778;0,38;0,2;0,105555555556;0,355555555556;0,607638888889;0,649209104938
34;0,688888888889;0,282051282051;0,615764615659;0,755667610229;0,8;0,99985355489;1,0346112e-05;0,694444444444;0,6875;0,357142857143;0,9;0,357142857143;0,694444444444;0,471698113208;0,2;0,138888888889;0,388888888889;0,690972222222;0,781442901235
35;0,633333333333;0,140625;0,558418119971;0,703777919364;0,8;0,999999930959;0,000135722509;0,527777777778;0,659722222222;0,279411764706;0,848214285714;0,279411764706;0,527777777778;0,365384615385;0,2;0,105555555556;0,377777777778;0,59375;0,637538580247
36;0,716666666667;0,234234234234;0,644846269403;0,781198655469;0,8;0,997245442641;0,049949976455;0,5;0,770833333333;0,352941176471;0,860465116279;0,352941176471;0,5;0,413793103448;0,2;0,1;0,283333333333;0,635416666667;0,684992283951
37;0,644444444444;0,203980099502;0,569804961414;0,714239220485;0,8;0,999999614851;3,745984e-06;0,638888888889;0,645833333333;0,310810810811;0,877358490566;0,310810810811;0,638888888889;0,418181818182;0,2;0,127777777778;0,411111111111;0,642361111111;0,700424382716
38;0,733333333333;0,298245614035;0,662438015907;0,796372168652;0,8;0,988069848766;0,014137969456;0,583333333333;0,770833333333;0,388888888889;0,880952380952;0,388888888889;0,583333333333;0,466666666667;0,2;0,116666666667;0,3;0,677083333333;0,688850308642
39;0,716666666667;0,205607476636;0,644846269403;0,781198655469;0,8;0,997245442641;0,161429462367;0,444444444444;0,784722222222;0,340425531915;0,84962406015;0,340425531915;0,444444444444;0,385542168675;0,2;0,088888888889;0,261111111111;0,614583333333;0,66049382716
40;0,683333333333;0,214876033058;0,609982286547;0,750526898482;0,8;0,999924278077;0,001478464797;0,555555555556;0,715277777778;0,327868852459;0,865546218487;0,327868852459;0,555555555556;0,412371134021;0,2;0,111111111111;0,338888888889;0,635416666667;0,667341820988
41;0,65;0,210526315789;0,575513445123;0,719454659607;0,8;0,999999121319;5,744712e-06;0,638888888889;0,652777777778;0,315068493151;0,878504672897;0,315068493151;0,638888888889;0,422018348624;0,2;0,127777777778;0,405555555556;0,645833333333;0,703510802469
42;0,738888888889;0,306784660767;0,668327012507;0,801404462994;0,8;0,981495657599;0,01960410857;0,583333333333;0,777777777778;0,396226415094;0,88188976378;0,396226415094;0,583333333333;0,47191011236;0,2;0,116666666667;0,294444444444;0,680555555556;0,762538580247
43;0,744444444444;0,29012345679;0,67422895991;0,806423552937;0,8;0,972005095915;0,104833002858;0,527777777778;0,798611111111;0,395833333333;0,871212121212;0,395833333333;0,527777777778;0,452380952381;0,2;0,105555555556;0,266666666667;0,663194444444;0,751543209877
