i;Accuracy;Kappa;AccuracyLower;AccuracyUpper;AccuracyNull;AccuracyPValue;McnemarPValue;Sensitivity;Specificity;Pos.Pred.Value;Neg.Pred.Value;Precision;Recall;F1;Prevalence;Detection.Rate;Detection.Prevalence;Balanced.Accuracy;AUC
1;0,688888888889;0,282051282051;0,615764615659;0,755667610229;0,8;0,99985355489;1,0346112e-05;0,694444444444;0,6875;0,357142857143;0,9;0,357142857143;0,694444444444;0,471698113208;0,2;0,138888888889;0,388888888889;0,690972222222;0,751543209877
2;0,683333333333;0,251968503937;0,609982286547;0,750526898482;0,8;0,999924278077;7,0795286e-05;0,638888888889;0,694444444444;0,34328358209;0,884955752212;0,34328358209;0,638888888889;0,446601941748;0,2;0,127777777778;0,372222222222;0,666666666667;0,736882716049
3;0,727777777778;0,264264264264;0,656561717112;0,791326936824;0,8;0,992497365266;0,045500263896;0,527777777778;0,777777777778;0,372549019608;0,868217054264;0,372549019608;0,527777777778;0,436781609195;0,2;0,105555555556;0,283333333333;0,652777777778;0,671875
4;0,683333333333;0,227642276423;0,609982286547;0,750526898482;0,8;0,999924278077;0,000573633511;0,583333333333;0,708333333333;0,333333333333;0,871794871795;0,333333333333;0,583333333333;0,424242424242;0,2;0,116666666667;0,35;0,645833333333;0,680844907407
5;0,705555555556;0,245014245014;0,633178907282;0,771021475632;0,8;0,999083606;0,006010440201;0,555555555556;0,743055555556;0,350877192982;0,869918699187;0,350877192982;0,555555555556;0,430107526882;0,2;0,111111111111;0,316666666667;0,649305555556;0,679976851852
6;0,788888888889;0,246031746032;0,721946580144;0,846063051669;0,8;0,684480811961;0,074352905369;0,305555555556;0,909722222222;0,458333333333;0,839743589744;0,458333333333;0,305555555556;0,366666666667;0,2;0,061111111111;0,133333333333;0,607638888889;0,714988425926
7;0,633333333333;0,126984126984;0,558418119971;0,703777919364;0,8;0,999999930959;0,000357454074;0,5;0,666666666667;0,272727272727;0,842105263158;0,272727272727;0,5;0,352941176471;0,2;0,1;0,366666666667;0,583333333333;0,617669753086
8;0,705555555556;0,17445482866;0,633178907282;0,771021475632;0,8;0,999083606;0,169564145191;0,416666666667;0,777777777778;0,31914893617;0,842105263158;0,31914893617;0,416666666667;0,361445783133;0,2;0,083333333333;0,261111111111;0,597222222222;0,676890432099
9;0,727777777778;0,236760124611;0,656561717112;0,791326936824;0,8;0,992497365266;0,15312745102;0,472222222222;0,791666666667;0,36170212766;0,857142857143;0,36170212766;0,472222222222;0,409638554217;0,2;0,094444444444;0,261111111111;0,631944444444;0,708333333333
10;0,777777777778;0,305555555556;0,709928795256;0,836243697931;0,8;0,800722459379;1;0,444444444444;0,861111111111;0,444444444444;0,861111111111;0,444444444444;0,444444444444;0,444444444444;0,2;0,088888888889;0,2;0,652777777778;0,756172839506
11;0,627777777778;0,092140921409;0,552739567924;0,698532262423;0,8;0,999999971759;0,001491123344;0,444444444444;0,673611111111;0,253968253968;0,82905982906;0,253968253968;0,444444444444;0,323232323232;0,2;0,088888888889;0,35;0,559027777778;0,629050925926
12;0,688888888889;0,234972677596;0,615764615659;0,755667610229;0,8;0,99985355489;0,000835477492;0,583333333333;0,715277777778;0,338709677419;0,872881355932;0,338709677419;0,583333333333;0,428571428571;0,2;0,116666666667;0,344444444444;0,649305555556;0,703703703704
13;0,688888888889;0,247311827957;0,615764615659;0,755667610229;0,8;0,99985355489;0,000308534666;0,611111111111;0,708333333333;0,34375;0,879310344828;0,34375;0,611111111111;0,44;0,2;0,122222222222;0,355555555556;0,659722222222;0,720679012346
