"";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"1";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"2";0,994444444444444;0,969879518072289;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;1;0,993827160493827;0,947368421052631;1;0,947368421052632;1;0,972972972972973;0,1;0,1;0,105555555555556;0,996913580246914
"3";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"4";0,994444444444444;0,969879518072289;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;1;0,993827160493827;0,947368421052631;1;0,947368421052632;1;0,972972972972973;0,1;0,1;0,105555555555556;0,996913580246914
"5";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"6";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"7";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"8";0,994444444444444;0,969879518072289;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;1;0,993827160493827;0,947368421052631;1;0,947368421052632;1;0,972972972972973;0,1;0,1;0,105555555555556;0,996913580246914
"9";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"10";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"11";0,994444444444444;0,969879518072289;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;1;0,993827160493827;0,947368421052631;1;0,947368421052632;1;0,972972972972973;0,1;0,1;0,105555555555556;0,996913580246914
"12";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"13";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"14";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"15";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"16";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"17";0,994444444444444;0,969879518072289;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;1;0,993827160493827;0,947368421052631;1;0,947368421052632;1;0,972972972972973;0,1;0,1;0,105555555555556;0,996913580246914
"18";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"19";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"20";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"21";0,994444444444444;0,969879518072289;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;1;0,993827160493827;0,947368421052631;1;0,947368421052632;1;0,972972972972973;0,1;0,1;0,105555555555556;0,996913580246914
"22";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"23";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"24";0,994444444444444;0,969879518072289;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;1;0,993827160493827;0,947368421052631;1;0,947368421052632;1;0,972972972972973;0,1;0,1;0,105555555555556;0,996913580246914
"25";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"26";0,994444444444444;0,969879518072289;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;1;0,993827160493827;0,947368421052631;1;0,947368421052632;1;0,972972972972973;0,1;0,1;0,105555555555556;0,996913580246914
"27";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"28";0,994444444444444;0,969879518072289;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;1;0,993827160493827;0,947368421052631;1;0,947368421052632;1;0,972972972972973;0,1;0,1;0,105555555555556;0,996913580246914
"29";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"30";0,994444444444444;0,969879518072289;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;1;0,993827160493827;0,947368421052631;1;0,947368421052632;1;0,972972972972973;0,1;0,1;0,105555555555556;0,996913580246914
"31";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"32";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"33";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"34";0,994444444444444;0,969879518072289;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;1;0,993827160493827;0,947368421052631;1;0,947368421052632;1;0,972972972972973;0,1;0,1;0,105555555555556;0,996913580246914
"35";0,994444444444444;0,969879518072289;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;1;0,993827160493827;0,947368421052631;1;0,947368421052632;1;0,972972972972973;0,1;0,1;0,105555555555556;0,996913580246914
"36";0,994444444444444;0,969879518072289;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;1;0,993827160493827;0,947368421052631;1;0,947368421052632;1;0,972972972972973;0,1;0,1;0,105555555555556;0,996913580246914
"37";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"38";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"39";0,994444444444444;0,969879518072289;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;1;0,993827160493827;0,947368421052631;1;0,947368421052632;1;0,972972972972973;0,1;0,1;0,105555555555556;0,996913580246914
"40";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"41";0,994444444444444;0,969879518072289;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;1;0,993827160493827;0,947368421052631;1;0,947368421052632;1;0,972972972972973;0,1;0,1;0,105555555555556;0,996913580246914
"42";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"43";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"44";0,983333333333333;0,913793103448276;0,952067799503609;0,996549655803027;0,9;8,88485278417625e-06;0,248213078989924;1;0,981481481481482;0,857142857142857;1;0,857142857142857;1;0,923076923076923;0,1;0,1;0,116666666666667;0,990740740740741
"45";0,994444444444444;0,969879518072289;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;1;0,993827160493827;0,947368421052631;1;0,947368421052632;1;0,972972972972973;0,1;0,1;0,105555555555556;0,996913580246914
"46";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"47";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"48";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"49";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"50";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"51";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"52";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"53";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"54";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"55";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"56";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"57";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"58";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"59";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"60";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"61";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"62";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"63";1;1;0,979714795429887;1;0,9;5,80298835530108e-09;NA;1;1;1;1;1;1;1;0,1;0,1;0,1;1
"64";0,994444444444444;0,969879518072289;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;1;0,993827160493827;0,947368421052631;1;0,947368421052632;1;0,972972972972973;0,1;0,1;0,105555555555556;0,996913580246914
"65";0,994444444444444;0,969879518072289;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;1;0,993827160493827;0,947368421052631;1;0,947368421052632;1;0,972972972972973;0,1;0,1;0,105555555555556;0,996913580246914
"66";0,994444444444444;0,969879518072289;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;1;0,993827160493827;0,947368421052631;1;0,947368421052632;1;0,972972972972973;0,1;0,1;0,105555555555556;0,996913580246914
"67";0,988888888888889;0,941176470588236;0,960441156597819;0,998651549008379;0,9;1,27601266168231e-06;0,479500122186953;1;0,987654320987654;0,9;1;0,9;1;0,947368421052632;0,1;0,1;0,111111111111111;0,993827160493827
"68";0,994444444444444;0,968354430379747;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;0,944444444444444;1;1;0,993865030674847;1;0,944444444444444;0,971428571428571;0,1;0,0944444444444444;0,0944444444444444;0,972222222222222
"69";0,983333333333333;0,913793103448276;0,952067799503609;0,996549655803027;0,9;8,88485278417625e-06;0,248213078989924;1;0,981481481481482;0,857142857142857;1;0,857142857142857;1;0,923076923076923;0,1;0,1;0,116666666666667;0,990740740740741
"70";0,994444444444444;0,969879518072289;0,969436658991863;0,999859355402577;0,9;1,21862755461322e-07;1;1;0,993827160493827;0,947368421052631;1;0,947368421052632;1;0,972972972972973;0,1;0,1;0,105555555555556;0,996913580246914
"71";0,988888888888889;0,941176470588236;0,960441156597819;0,998651549008379;0,9;1,27601266168231e-06;0,479500122186953;1;0,987654320987654;0,9;1;0,9;1;0,947368421052632;0,1;0,1;0,111111111111111;0,993827160493827
